id;id_evento;ts_evento;note
1;76906;2022-02-17T18:54:38;Director Tugrik
2;53142;2022-02-18T05:26:17;De-engineered Assistant red
3;48454;2022-02-17T19:41:17;Plastic Implemented transmitter
4;57941;2022-02-18T17:31:33;Soft impactful functionalities
5;38564;2022-02-18T07:21:26;West
6;37904;2022-02-18T17:59:53;plum
7;21054;2022-02-18T16:56:13;Refined Producer
8;86201;2022-02-17T21:33:32;withdrawal Small
9;54427;2022-02-18T11:39:03;Planner Chair Indiana
10;16321;2022-02-18T08:04:54;cross-platform web-readiness Kwacha
