id;id_stadio;ds_stadio;ts_cambio_stato
1;8398;Carolina benchmark technologies;2022-02-18T14:14:13
2;63360;pixel incubate;2022-02-18T02:14:13
3;86208;Bhutan Account extend;2022-02-18T10:05:18
4;62466;Usability Car;2022-02-18T16:20:07
5;57316;Object-based hard XML;2022-02-18T07:07:28
6;25171;Loan Convertible Massachusetts;2022-02-18T17:18:47
7;12884;Dong one-to-one;2022-02-18T05:15:27
8;3077;web-readiness Towels;2022-02-18T17:16:29
9;70305;input Metal;2022-02-18T04:42:25
10;13049;Pound models Officer;2022-02-18T17:27:52
